x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
0,58,1,-0.1,88.6,1,30.6001633982565,-30.3462938091618,64,76.1462938091618,42.1022441107326,0,0
0,60,1,-0.1,88.6,1,28.6001748246405,-29.7598632410665,52,75.5598632410665,38.9351188994499,0,0
0,62,1,-0.1,88.6,1,26.6001879692607,-29.1310109174172,55,74.9310109174172,37.6632799724992,0,0
0,64,1,-0.1,88.6,1,24.6002032511929,-28.4531276972659,47,74.2531276972659,38.363451964605,0,0
0,66,1,-0.1,88.6,1,22.6002212378552,-27.7179315477902,55,73.5179315477902,32.0408470183068,0,0
0,68,1,-0.1,88.6,1,20.6002427170167,-26.9148518809167,79,72.7148518809167,29.1366677848945,0,0
0,70,1,-0.1,88.6,1,18.6002688152618,-26.0301025695472,120,71.8301025695472,25.3592658535391,0,0
0,72,1,-0.1,88.6,1,16.6003012020867,-25.0452340055608,99,70.8452340055608,25.497065790189,0,0
0,74,1,-0.1,88.6,1,14.600342461737,-23.9347696753863,77,69.7347696753863,21.9827610034656,0,0
0,76,1,-0.1,88.6,1,12.6003968191482,-22.6621356605367,66,68.4621356605367,19.9362851593443,0,0
0,78,1,-0.1,88.6,1,10.6004716876184,-21.1721647749705,63,66.9721647749705,17.9104700463307,0,0
0,80,1,-0.1,88.6,1,8.6005813756978,-19.3760584170649,62,65.1760584170649,16.5969296058167,0,0
0,82,1,-0.1,88.6,1,6.60075753228369,-17.1176096494655,60,62.9176096494655,13.7841253506753,0,0
0,84,1,-0.1,88.6,1,4.60108682813093,-14.0848402397486,55,59.8848402397486,10.6830368146028,0,0
0,86,1,-0.1,88.6,1,2.60192236625153,-9.53139349661288,34,55.3313934966129,5.17589131255606,0,0
0,88,1,-0.1,88.6,1,0.608276253029816,-1.9943889801678,24,47.7943889801678,3.72223715237709,0,0
0,90,1,-0.1,88.6,1,1.40356688476183,-5.3547478017759,21,51.1547478017759,3.88731598650696,0,0
0,92,1,-0.1,88.6,1,3.401470270339,-11.6205360854633,9,57.4205360854633,5.94769838662555,0,0
0,94,1,-0.1,88.6,1,5.40092584655632,-15.4229364103536,23,61.2229364103536,13.748618357246,0,0
0,96,1,-0.1,88.6,1,7.40067564483136,-18.0911897535194,39,63.8911897535194,18.2933873204893,0,0
0,98,1,-0.1,88.6,1,9.40053189984482,-20.1391008879508,44,65.9391008879508,21.4460433711246,0,0
0,100,1,-0.1,88.6,1,11.4004385880544,-21.7989015837464,39,67.5989015837464,24.6381504116996,0,0
0,102,1,-0.1,88.6,1,13.4003731291334,-23.1936392890483,46,68.9936392890483,27.5760427641372,0,0
0,104,1,-0.1,88.6,1,15.4003246719022,-24.3960538752442,51,70.1960538752442,31.1921391371996,0,0
0,106,1,-0.1,88.6,1,17.4002873539491,-25.4526321204681,58,71.2526321204681,34.0587859359336,0,0
0,108,1,-0.1,88.6,1,19.4002577302468,-26.3948570270327,57,72.1948570270327,35.4093442765313,0,0
0,110,1,-0.1,88.6,1,21.4002336435844,-27.2450263020972,61,73.0450263020972,36.2261675050825,0,0
0,112,1,-0.1,88.6,1,23.4002136742381,-28.0195038423696,74,73.8195038423696,38.3159893851919,0,0
0,114,1,-0.1,88.6,1,25.4001968496309,-28.7306512184175,78,74.5306512184175,38.2147198744337,0,0
0,116,1,-0.1,88.6,1,27.4001824811442,-29.3880332170556,70,75.1880332170556,39.7387941566009,0,0
0,118,1,-0.1,88.6,1,29.4001700675353,-29.9992016618773,50,75.7992016618773,42.8193910672244,0,0
0,120,1,-0.1,88.6,1,31.400159235265,-30.5702228288921,52,76.3702228288921,45.9312722848183,0,0
0,122,1,-0.1,88.6,1,33.4001497002633,-31.1060428590847,68,76.9060428590847,46.9410220282288,0,0
0,124,1,-0.1,88.6,1,35.4001412426561,-31.6107473901213,69,77.4107473901213,43.2252943983366,0,0
0,126,1,-0.1,88.6,1,37.4001336896006,-32.0877501229804,66,77.8877501229804,40.3117838632366,0,0
0,128,1,-0.1,88.6,1,39.4001269033489,-32.539932442962,61,78.339932442962,40.3183159755469,0,0
0,130,1,-0.1,88.6,1,41.4001207727707,-32.969748581847,68,78.769748581847,38.9315218953267,0,0
