x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
0,50,1,-0.1,88.6,1,38.6001295334614,-32.361872359059,96,78.161872359059,45.6814141865178,0,0
0,55,1,-0.1,88.6,1,33.6001488091943,-31.1578524424874,65,76.9578524424874,43.9031671338055,0,0
0,60,1,-0.1,88.6,1,28.6001748246405,-29.7598632410665,52,75.5598632410665,38.9351188994499,0,0
0,65,1,-0.1,88.6,1,23.6002118634558,-28.0932918000457,49,73.8932918000457,36.0612689228996,0,0
0,70,1,-0.1,88.6,1,18.6002688152618,-26.0301025695472,120,71.8301025695472,25.3592658535391,0,0
0,75,1,-0.1,88.6,1,13.6003676420897,-23.3216122193161,67,69.1216122193161,20.6029623102012,0,0
0,80,1,-0.1,88.6,1,8.6005813756978,-19.3760584170649,62,65.1760584170649,16.5969296058167,0,0
0,85,1,-0.1,88.6,1,3.60138862107382,-12.0791473697456,41,57.8791473697456,5.23060048814406,0,0
0,90,1,-0.1,88.6,1,1.40356688476183,-5.3547478017759,21,51.1547478017759,3.88731598650696,0,0
0,95,1,-0.1,88.6,1,6.40078120232211,-16.8565730007187,30,62.6565730007187,15.3553195191284,0,0
0,100,1,-0.1,88.6,1,11.4004385880544,-21.7989015837464,39,67.5989015837464,24.6381504116996,0,0
0,105,1,-0.1,88.6,1,16.400304875215,-24.940338373959,53,70.740338373959,34.3272616882185,0,0
0,110,1,-0.1,88.6,1,21.4002336435844,-27.2450263020972,61,73.0450263020972,36.2261675050825,0,0
0,115,1,-0.1,88.6,1,26.40018939326,-29.0655508713045,94,74.8655508713045,43.2332706813807,0,0
0,120,1,-0.1,88.6,1,31.400159235265,-30.5702228288921,52,76.3702228288921,45.9312722848183,0,0
0,125,1,-0.1,88.6,1,36.4001373623782,-31.8525202915097,68,77.6525202915097,38.5452061319517,0,0
0,130,1,-0.1,88.6,1,41.4001207727707,-32.969748581847,68,78.769748581847,38.9315218953267,0,0
0,135,1,-0.1,88.6,1,46.4001077584956,-33.9595798111055,74,79.7595798111055,35.5801203178844,0,0
25.98,0,1,25.9,43.4,1,43.4000737326563,-33.379297746601,63,79.179297746601,26.3064821422862,0,0
25.98,5,1,25.9,43.4,1,38.4000833332429,-32.3167708824414,64,78.1167708824414,34.1542305698359,0,0
25.98,10,1,25.9,43.4,1,33.4000958082458,-31.1060288567145,64,76.9060288567145,36.3869855073253,0,0
25.98,15,1,25.9,43.4,1,28.4001126758328,-29.6989657204065,53,75.4989657204065,38.8807792768579,0,0
25.98,20,1,25.9,43.4,1,23.4001367517372,-28.0194753416265,52,73.8194753416265,32.0089345281784,0,0
25.98,25,1,25.9,43.4,1,18.4001739122216,-25.9364304124112,80,71.7364304124112,26.5767285913909,0,0
25.98,30,1,25.9,43.4,1,13.4002388038423,-23.1935527034737,43,68.9935527034737,25.3128089399044,0,0
25.98,35,1,25.9,43.4,1,8.40038094374297,-19.1742750233647,32,64.9742750233647,19.1480308734746,0,0
25.98,40,1,25.9,43.4,1,3.40094104623999,-11.619292104507,49,57.419292104507,8.60707610757144,0,0
25.98,45,1,25.9,43.4,1,1.60199875156006,-6.14948381996539,18,51.9494838199654,3.8584451571008,0,0
25.98,50,1,25.9,43.4,1,6.60048483067721,-17.1172588477424,35,62.9172588477424,14.5937724027581,0,0
