58.00,4.00,0.00,60.53,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59.00,4.00,0.00,62.75,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60.00,4.00,0.00,64.97,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61.00,4.00,0.00,67.19,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.00,4.00,0.00,69.41,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63.00,4.00,0.00,71.63,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64.00,4.00,0.00,73.85,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65.00,4.00,0.00,76.07,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66.00,4.00,0.00,78.29,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67.00,4.00,0.00,80.51,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68.00,4.00,0.00,82.73,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69.00,4.00,0.00,84.95,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70.00,4.00,0.00,87.17,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.00,4.00,0.00,89.39,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72.00,4.00,0.00,91.61,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73.00,4.00,0.00,93.83,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74.00,4.00,0.00,96.05,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75.00,4.00,0.00,98.27,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76.00,4.00,0.00,100.49,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77.00,4.00,0.00,102.71,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78.00,4.00,0.00,104.93,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79.00,4.00,0.00,107.15,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80.00,4.00,0.00,109.37,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81.00,4.00,0.00,111.59,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82.00,4.00,0.00,113.81,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83.00,4.00,0.00,116.03,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
