59.00,0.00,62.75,4.00,-62.19
60.00,0.00,64.97,4.00,-62.55
61.00,0.00,67.19,4.00,-62.91
62.00,0.00,69.41,4.00,-63.26
63.00,0.00,71.63,4.00,-63.60
64.00,0.00,73.85,4.00,-63.93
65.00,0.00,76.07,4.00,-64.26
66.00,0.00,78.29,4.00,-64.58
67.00,0.00,80.51,4.00,-64.89
68.00,0.00,82.73,4.00,-65.19
69.00,0.00,84.95,4.00,-65.49
70.00,0.00,87.17,4.00,-65.79
71.00,0.00,89.39,4.00,-66.07
72.00,0.00,91.61,4.00,-66.36
73.00,0.00,93.83,4.00,-66.63
74.00,0.00,96.05,4.00,-66.90
75.00,0.00,98.27,4.00,-67.17
76.00,0.00,100.49,4.00,-67.43
77.00,0.00,102.71,4.00,-67.69
78.00,0.00,104.93,4.00,-67.94
79.00,0.00,107.15,4.00,-68.19
80.00,0.00,109.37,4.00,-68.44
81.00,0.00,111.59,4.00,-68.68
82.00,0.00,113.81,4.00,-68.91
83.00,0.00,116.03,4.00,-69.15
84.00,0.00,118.25,4.00,-69.38
85.00,0.00,120.47,4.00,-69.60
86.00,0.00,122.69,4.00,-69.82
87.00,0.00,124.91,4.00,-70.04
88.00,0.00,127.13,4.00,-70.26
89.00,0.00,129.35,4.00,-70.47
90.00,0.00,131.57,4.00,-70.68
91.00,0.00,133.79,4.00,-70.89
92.00,0.00,136.01,4.00,-70.93
93.00,0.00,138.23,4.00,-70.73
94.00,0.00,140.45,4.00,-70.52
95.00,0.00,142.67,4.00,-70.31
96.00,0.00,144.89,4.00,-70.09
97.00,0.00,147.11,4.00,-69.87
98.00,0.00,149.33,4.00,-69.65
99.00,0.00,151.55,4.00,-69.43
100.00,0.00,153.77,4.00,-69.20
101.00,0.00,155.99,4.00,-68.97
102.00,0.00,158.21,4.00,-68.73
103.00,0.00,160.43,4.00,-68.49
104.00,0.00,160.80,4.00,-68.45
105.00,0.00,160.80,4.00,-68.45
106.00,0.00,160.80,4.00,-68.45
107.00,0.00,160.80,4.00,-68.45
108.00,0.00,160.80,4.00,-68.45
109.00,0.00,160.80,4.00,-68.45
110.00,0.00,158.95,4.00,-68.65
111.00,0.00,156.73,4.00,-68.89
112.00,0.00,154.51,4.00,-69.12
113.00,0.00,152.29,4.00,-69.35
114.00,0.00,150.07,4.00,-69.58
115.00,0.00,147.85,4.00,-69.80
116.00,0.00,145.63,4.00,-70.02
117.00,0.00,143.41,4.00,-70.24
118.00,0.00,141.19,4.00,-70.45
119.00,0.00,138.97,4.00,-70.66
120.00,0.04,136.76,4.00,-70.87
121.00,1.64,135.23,4.00,-71.16
122.00,3.69,134.80,4.00,-71.32
123.00,5.91,134.80,4.00,-71.52
124.00,8.13,134.80,4.00,-71.71
125.00,10.35,134.80,4.00,-71.90
126.00,12.57,134.80,4.00,-72.10
127.00,14.79,134.80,4.00,-59.62
128.00,17.01,134.80,4.00,-59.39
129.00,19.23,134.80,4.00,-59.16
130.00,21.45,134.80,4.00,-58.93
131.00,23.67,134.80,4.00,-58.69
132.00,25.89,134.80,4.00,-58.45
133.00,28.11,134.80,4.00,-58.67
134.00,30.33,134.80,4.00,-58.91
135.00,32.55,134.80,4.00,-59.14
136.00,34.77,134.80,4.00,-59.37
137.00,36.99,134.80,4.00,-59.60
138.00,39.21,134.80,4.00,-72.11
139.00,41.43,134.80,4.00,-71.92
140.00,43.65,134.80,4.00,-71.73
141.00,45.87,134.80,4.00,-71.53
142.00,48.09,134.80,4.00,-71.33
143.00,50.31,134.80,4.00,-71.13
144.00,51.98,134.82,4.00,-70.99
145.00,51.96,133.21,4.00,-70.83
146.00,51.96,130.99,4.00,-70.63
147.00,51.96,129.86,4.00,-70.52
148.00,50.29,128.43,4.00,-70.54
149.00,48.61,126.98,4.00,-70.57
150.00,46.92,125.53,4.00,-70.59
151.00,45.24,124.09,4.00,-70.61
152.00,43.55,122.64,4.00,-70.63
153.00,41.87,121.19,4.00,-70.65
154.00,41.47,120.85,4.00,-70.66
155.00,41.47,120.85,4.00,-70.66
156.00,41.47,120.85,4.00,-70.66
157.00,41.47,120.85,4.00,-70.66
158.00,41.47,120.85,4.00,-70.66
159.00,41.47,120.85,4.00,-70.66
160.00,41.91,121.23,4.00,-70.65
161.00,43.60,122.68,4.00,-70.63
162.00,45.28,124.12,4.00,-70.61
163.00,46.97,125.57,4.00,-70.59
164.00,48.65,127.02,4.00,-70.56
165.00,50.33,128.46,4.00,-70.54
166.00,51.96,129.94,4.00,-70.53
167.00,51.99,132.16,4.00,-70.74
168.00,50.86,133.89,4.00,-71.00
169.00,49.00,134.80,4.00,-71.25
170.00,46.78,134.80,4.00,-71.45
171.00,44.56,134.80,4.00,-71.65
172.00,42.34,134.80,4.00,-71.84
173.00,40.12,134.80,4.00,-72.03
174.00,37.90,134.80,4.00,-59.69
175.00,35.68,134.80,4.00,-59.46
176.00,33.46,134.80,4.00,-59.24
177.00,31.24,134.80,4.00,-59.01
178.00,29.02,134.80,4.00,-58.77
179.00,26.91,134.97,4.00,-58.56
180.00,26.00,136.98,4.00,-58.68
181.00,26.00,139.20,4.00,-58.92
182.00,26.00,141.42,4.00,-59.15
183.00,26.00,143.64,4.00,-59.38
184.00,26.00,145.86,4.00,-59.60
185.00,26.00,148.08,4.00,-59.83
186.00,26.00,150.30,4.00,-60.05
187.00,26.00,152.52,4.00,-60.26
188.00,26.00,154.74,4.00,-60.47
189.00,26.00,156.96,4.00,-60.68
190.00,26.00,159.18,4.00,-60.89
191.00,26.00,160.80,4.00,-61.04
